Year,Model Pair,Loss,Spearman_EW,Spearman_EWMA
2015,XGB -- RF,MAE,0.8096465925468346,0.8096465925468346
2015,XGB -- MLP,MAE,0.5771253005410213,0.5771253005410213
2015,RF -- MLP,MAE,0.5932309431116234,0.5932309431116234
2015,XGB -- RF,MSE,0.8096464152407893,0.8096464152407893
2015,XGB -- MLP,MSE,0.5771249986939683,0.5771249986939683
2015,RF -- MLP,MSE,0.5932309431116234,0.5932309431116234
2015,XGB -- RF,Signed,0.9180680493222538,0.9180680493222538
2015,XGB -- MLP,Signed,0.7933443489143354,0.7933443489143354
2015,RF -- MLP,Signed,0.8052712570482484,0.8052712570482484
2016,XGB -- RF,MAE,0.8601139077111192,0.8366366080089656
2016,XGB -- MLP,MAE,0.6648761943999026,0.6141537599321256
2016,RF -- MLP,MAE,0.6628445195984785,0.6229033737449421
2016,XGB -- RF,MSE,0.867593801688107,0.8578760993834211
2016,XGB -- MLP,MSE,0.6730054602161826,0.6441710447842605
2016,RF -- MLP,MSE,0.6747098340826825,0.6509412868118823
2016,XGB -- RF,Signed,0.9292946399207409,0.9236480246126955
2016,XGB -- MLP,Signed,0.8187628825467145,0.8049195922687383
2016,RF -- MLP,Signed,0.8196362039381835,0.8125956333024288
2017,XGB -- RF,MAE,0.8792905326855048,0.8564921936450061
2017,XGB -- MLP,MAE,0.7097455981244132,0.655251410910718
2017,RF -- MLP,MAE,0.7072865009538493,0.6620824635638783
2017,XGB -- RF,MSE,0.8874511794595996,0.8820996988108811
2017,XGB -- MLP,MSE,0.7258637913781779,0.6976710564730264
2017,RF -- MLP,MSE,0.7266523189727403,0.7028828396211206
2017,XGB -- RF,Signed,0.9335186404488711,0.9299413677019374
2017,XGB -- MLP,Signed,0.8234188516130005,0.8164361094862944
2017,RF -- MLP,Signed,0.8247371693760341,0.8237620827268853
2018,XGB -- RF,MAE,0.8901626676197976,0.8745657906148631
2018,XGB -- MLP,MAE,0.7390693373992347,0.6944290485887845
2018,RF -- MLP,MAE,0.7336613626621178,0.696152827316918
2018,XGB -- RF,MSE,0.8999573024115771,0.8978668530797326
2018,XGB -- MLP,MSE,0.7582838345947421,0.7377596093398741
2018,RF -- MLP,MSE,0.7544216905329115,0.7369818899329962
2018,XGB -- RF,Signed,0.9382773099515572,0.9349144665212581
2018,XGB -- MLP,Signed,0.8348715935142182,0.8283559958116229
2018,RF -- MLP,Signed,0.8331708604553071,0.8333344071431017
2019,XGB -- RF,MAE,0.8975932224968807,0.8884376659954328
2019,XGB -- MLP,MAE,0.7555906008133715,0.7238549384226632
2019,RF -- MLP,MAE,0.7466594655194551,0.7206509758547348
2019,XGB -- RF,MSE,0.9083274028868302,0.9082907547236524
2019,XGB -- MLP,MSE,0.7755107985861288,0.7614387322269621
2019,RF -- MLP,MSE,0.767426802777418,0.7559401256994046
2019,XGB -- RF,Signed,0.9397617870942384,0.9391214835842502
2019,XGB -- MLP,Signed,0.841776268935002,0.8366550211551946
2019,RF -- MLP,Signed,0.8396366950328638,0.8412445278636769
2020,XGB -- RF,MAE,0.8977293093944463,0.8943370932203456
2020,XGB -- MLP,MAE,0.7701305427011722,0.7500947161786602
2020,RF -- MLP,MAE,0.7564677659249134,0.7408839694176963
2020,XGB -- RF,MSE,0.905774928411488,0.9070989668350733
2020,XGB -- MLP,MSE,0.7842913824977038,0.7748655334012168
2020,RF -- MLP,MSE,0.7716998755987702,0.7650825409068372
2020,XGB -- RF,Signed,0.9403531697208926,0.9402149359782649
2020,XGB -- MLP,Signed,0.8481154686967239,0.8453531978149779
2020,RF -- MLP,Signed,0.8457976752882049,0.8481261494832493
2021,XGB -- RF,MAE,0.9047731647602029,0.9034513450570156
2021,XGB -- MLP,MAE,0.7802981385400084,0.7647711549973761
2021,RF -- MLP,MAE,0.769469436697776,0.7591183217570424
2021,XGB -- RF,MSE,0.9129300614826982,0.9141684090406069
2021,XGB -- MLP,MSE,0.7894414795237041,0.780546682002671
2021,RF -- MLP,MSE,0.782452365727678,0.7773760279095914
2021,XGB -- RF,Signed,0.9442017897204037,0.9436320591866076
2021,XGB -- MLP,Signed,0.8560523600619148,0.8522576027842185
2021,RF -- MLP,Signed,0.8551586333837257,0.8534098067171615
2022,XGB -- RF,MAE,0.9092551373841437,0.9079530921189288
2022,XGB -- MLP,MAE,0.7842840086510613,0.7685613446322845
2022,RF -- MLP,MAE,0.7748741033117749,0.764980022039491
2022,XGB -- RF,MSE,0.9174704611298445,0.9168542274472421
2022,XGB -- MLP,MSE,0.7945081784482819,0.7821468422933074
2022,RF -- MLP,MSE,0.7873682825819107,0.7799283190981936
2022,XGB -- RF,Signed,0.9440158068855851,0.9415543278409231
2022,XGB -- MLP,Signed,0.8567518038436107,0.8520546650201549
2022,RF -- MLP,Signed,0.8559799707696525,0.8524056735654996
